,FlightNum,FlightNum,FlightNum,FlightNum,DepTime,DepTime,DepTime,DepTime,CRSDepTime,CRSDepTime,CRSDepTime,CRSDepTime,ArrTime,ArrTime,ArrTime,ArrTime,CRSArrTime,CRSArrTime,CRSArrTime,CRSArrTime,ActualElapsedTime,ActualElapsedTime,ActualElapsedTime,ActualElapsedTime,CRSElapsedTime,CRSElapsedTime,CRSElapsedTime,CRSElapsedTime,AirTime,AirTime,AirTime,AirTime,ArrDelay,ArrDelay,ArrDelay,ArrDelay,DepDelay,DepDelay,DepDelay,DepDelay,Distance,Distance,Distance,Distance,TaxiIn,TaxiIn,TaxiIn,TaxiIn,TaxiOut,TaxiOut,TaxiOut,TaxiOut,CarrierDelay,CarrierDelay,CarrierDelay,CarrierDelay,WeatherDelay,WeatherDelay,WeatherDelay,WeatherDelay,NASDelay,NASDelay,NASDelay,NASDelay,SecurityDelay,SecurityDelay,SecurityDelay,SecurityDelay,LateAircraftDelay,LateAircraftDelay,LateAircraftDelay,LateAircraftDelay
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,890.7935748462064,683.0,835.6896754736763,1463,1408.1127819548872,1408.0,446.9199611830008,1463,1391.9473684210527,1345.0,417.01289149615786,1463,1616.3622693096377,1741.0,589.3047678724936,1463,1648.1161995898838,1734.0,506.1931552562009,1463,273.73137388926864,261.0,59.76236245128029,1463,262.2112098427888,253.0,58.44361773778918,1463,240.15721120984279,229.0,57.550452744488325,1463,43.26999316473,32.0,32.018444931011686,1463,31.749829118250172,21.0,37.65189426708359,1463,1815.8981544771018,1728.0,504.2207406323839,1463,8.673274094326725,7.0,6.747134215437496,1463,24.90088858509911,19.0,17.598979980018722,1463,11.993848257006151,0.0,25.669702270594268,1463,0.721120984278879,0.0,5.278574596283218,1463,18.807245386192754,15.0,23.48337659273562,1463,0.10663021189336978,0.0,1.7694329833948157,1463,11.641148325358852,0.0,23.412680904471852,1463
1,2577.4226519337017,1736.5,2157.5612292741675,1086,1768.0036832412522,1844.5,451.1962287661329,1086,1601.9825046040517,1635.0,340.0196777547576,1086,1598.2504604051564,1917.0,778.0976564790701,1086,1777.5211786372008,1830.0,390.928702838671,1086,126.71086556169429,119.0,53.557748769522874,1086,121.7633517495396,112.0,51.631235691060496,1086,95.48710865561694,86.0,48.455873978920195,1086,156.5672191528545,138.5,70.85440769863425,1086,151.61970534069982,134.0,72.7329940426048,1086,633.7707182320441,545.5,410.76508575626326,1086,8.079189686924494,6.0,6.215721830015653,1086,23.144567219152854,17.0,19.755517293790284,1086,39.258747697974215,0.0,88.70569727959341,1086,6.0764272559852675,0.0,31.655121039939637,1086,38.11233885819521,6.0,61.98987798049148,1086,0.0,0.0,0.0,1086,73.11970534069981,84.5,66.09836573135144,1086
2,2455.0431910569105,1762.0,2051.8301342425725,3936,1794.455538617886,1807.0,233.34564195606455,3936,1737.6112804878048,1730.0,230.50215734031156,3936,1901.2543191056911,1944.0,415.7604353778252,3936,1918.2207825203252,1920.0,231.20913218467038,3936,113.59756097560975,110.0,41.39239977314388,3936,108.62779471544715,104.0,39.070671053018714,3936,85.13668699186992,80.0,38.14669891975987,3936,39.44613821138211,32.0,22.60069705383307,3936,34.47637195121951,31.0,27.15584372065807,3936,547.813262195122,508.0,296.6627611224171,3936,7.314024390243903,6.0,5.55361681098613,3936,21.146849593495936,17.0,14.467991406304451,3936,9.317581300813009,0.0,17.699991912172557,3936,0.9969512195121951,0.0,6.5122690076199365,3936,13.201981707317072,5.0,19.45263967899952,3936,0.020071138211382115,0.0,0.6540683705176691,3936,15.909552845528456,3.0,21.399840876351533,3936
3,2692.211394769614,2023.5,2125.3750799804643,3212,1038.5818804483188,1043.5,264.1573402827163,3212,1000.3823163138231,1015.0,255.59112212962594,3212,1219.18399750934,1232.0,261.9591759398195,3212,1155.2926525529265,1155.0,259.71448815098483,3212,120.82627646326276,117.5,43.12995962306294,3212,108.17310087173101,103.0,37.8397831934276,3212,87.4181195516812,83.0,38.60338001315933,3212,38.16282689912827,28.0,25.634725659103285,3212,25.509651307596513,20.0,29.105970008412946,3212,544.291407222914,507.0,297.56133036120144,3212,8.050747198007471,6.0,7.037664568642802,3212,25.357409713574096,19.0,18.880153530543943,3212,11.577210460772104,0.0,21.960780504130152,3212,1.0233499377334994,0.0,7.180401037828719,3212,18.11799501867995,15.0,22.65136827101922,3212,0.04202988792029888,0.0,1.1093057813123732,3212,7.402241594022416,0.0,15.670365542381784,3212
